Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","% Away From 52W High","ROCE","Debt to Equity","5Y Historical Revenue Growth","Sector PE","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Upside","Fundamental Score","Value Momentum Rank","Earnings Quality Rank","Price Momentum Rank","Price to Intrinsic Value Rank","Total Revenue","Total Debt","Expense Ratio"
Wipro Ltd,WIPRO,"IT Services & Consulting","230618.42847400001","422","18.857397500654155","75.31990521327015","20.503331253344005","26.878060331986344","6.98194812869426","25.377926607793576","17","40.476190476190496","28.07883667828385","4.453260869565217","25","79","28","60","81378.9","17592.9",
Larsen & Toubro Ltd,LT,"Construction & Engineering","220896.68523852","1572.15","25.86266999938189","32.21066692109531","13.658176085478088","149.93243768342114","7.425273362280493","42.94042285274228","35","97.2222222222222","26.488047489170544","5.1534883720930225","43","62","42","69","158885.24","133505.42",
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","219514.64841262499","3388.75","147.0735643111623","74.10549612689043","16.87674512003874","3.2231324241163284","21.12500104852004","115.76793819834823","16","59.2592592592592","11.437827720853761",,"20","19","49","3","31093.76","392.71",
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","198964.85238725","829.25","60.48906060835681","16.617425384383466","8.952943464203832","7.818498972207463","4.210364811314404","32.952257012295874","34","91.8918918918919","29.154827835299777","4.8373333333333335","71","83","89","61","39576","3868.58",
Axis Bank Ltd,AXISBANK,"Private Banks","197784.87317046","643.95","14.008131653253102","34.62225328053419","5.050386041391295",,"8.376579249420546","18.157425027422967","38","88.3720930232558","54.92697864321608","4.14","77","40","28","83","86114.19",,
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","180152.453325925","11322.55","39.53512100148248","70.67710012320548","6.55071052661863","220.36726605388756","22.800496770371325","18.157425027422967","7","77.7777777777778","46.81169986507192",,"8","30","21","40","68438.98","128460.85",
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","172780.94245919999","1946.2","79.51262883534284","42.22587606618025","35.761741122565866","75.15329245534524","16.84638621029857","115.76793819834823","20","68.9655172413793","31.731915003219584","5.720408163265306","39","75","85","13","29033","5638",
Nestle India Ltd,NESTLEIND,"FMCG - Foods","171572.24870058","17795.05","79.9922832728383","15.813948260892797","55.02283878723454","12.752341111452257","9.749666213995646","42.670964289078235","16","47.0588235294118","11.556539782484268","6.281578947368422","14","69","43","14","14829.52","265.82",
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","164864.55899463","131.05","3.6216370241763842","48.76001526135061","14.326925201354534","54.900528568411815","12.863420995133446","12.70631060421709","17","77.27272727272731","37.199373144176825",,"100","19","64","99","540663.39","133186.92",
UltraTech Cement Ltd,ULTRACEMCO,"Cement","164146.74347813","5691.7","22.35019266318143","45.28172602210236","14.384373112047516","46.37298440032231","15.40431022809674","11.280902227432499","37","88.0952380952381","38.82371194692634","4.035135135135135","18","83","16","47","53268.26","20487.769999999997",
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","147127.02592916","412.7","-12.85910166518467","30.046038284468146","1.2941288723518063","299.90197062190396","0.7248502665901269","115.76793819834823","23","79.31034482758619","24.76493443419136","2.86","64","48","88","39","281617.5","146449.03",
Tata Motors Ltd - DVR,TATAMTRDVR,"Four Wheelers","147127.02592916","198","-11.254757220284223","50.83333333333333",,,,"115.76793819834823","1","100","38.3948432760364",,"90",,"83","72","252437.94",,
